NAME                                                                         VERSION                                   TYPE      
./pkg/ipam                                                                   (devel)                                   go-module  
PyGObject                                                                    3.40.1                                    python     
PySocks                                                                      1.7.1                                     python     
chardet                                                                      4.0.0                                     python     
dario.cat/mergo                                                              v0.3.16                                   go-module  
dbus-python                                                                  1.2.18                                    python     
decorator                                                                    4.4.2                                     python     
ethtool                                                                      0.15                                      python     
github.com/NYTimes/gziphandler                                               v1.1.1                                    go-module  
github.com/Shopify/sarama                                                    v1.37.2                                   go-module  
github.com/antlr/antlr4/runtime/Go/antlr/v4                                  v4.0.0-20230305170008-8188dc5388df        go-module  
github.com/asaskevich/govalidator                                            v0.0.0-20230301143203-a9d515a09cc2        go-module  
github.com/beorn7/perks                                                      v1.0.1                                    go-module  
github.com/blang/semver/v4                                                   v4.0.0                                    go-module  
github.com/cenkalti/backoff/v4                                               v4.2.1                                    go-module  
github.com/cespare/xxhash/v2                                                 v2.2.0                                    go-module  
github.com/coreos/go-semver                                                  v0.3.0                                    go-module  
github.com/coreos/go-systemd/v22                                             v22.5.0                                   go-module  
github.com/davecgh/go-spew                                                   v1.1.1                                    go-module  
github.com/docker/distribution                                               v2.8.2+incompatible                       go-module  
github.com/eapache/go-resiliency                                             v1.3.0                                    go-module  
github.com/eapache/go-xerial-snappy                                          v0.0.0-20180814174437-776d5712da21        go-module  
github.com/eapache/queue                                                     v1.1.0                                    go-module  
github.com/emicklei/go-restful/v3                                            v3.10.1                                   go-module  
github.com/evanphx/json-patch                                                v5.6.0+incompatible                       go-module  
github.com/evanphx/json-patch/v5                                             v5.6.0                                    go-module  
github.com/felixge/httpsnoop                                                 v1.0.3                                    go-module  
github.com/fsnotify/fsnotify                                                 v1.6.0                                    go-module  
github.com/go-logr/logr                                                      v1.2.4                                    go-module  
github.com/go-logr/stdr                                                      v1.2.2                                    go-module  
github.com/go-openapi/jsonpointer                                            v0.19.6                                   go-module  
github.com/go-openapi/jsonreference                                          v0.20.2                                   go-module  
github.com/go-openapi/swag                                                   v0.22.3                                   go-module  
github.com/gogo/protobuf                                                     v1.3.2                                    go-module  
github.com/golang/groupcache                                                 v0.0.0-20210331224755-41bb18bfe9da        go-module  
github.com/golang/protobuf                                                   v1.5.3                                    go-module  
github.com/golang/snappy                                                     v0.0.4                                    go-module  
github.com/google/cel-go                                                     v0.14.0                                   go-module  
github.com/google/gnostic                                                    v0.6.9                                    go-module  
github.com/google/go-cmp                                                     v0.5.9                                    go-module  
github.com/google/gofuzz                                                     v1.2.0                                    go-module  
github.com/google/uuid                                                       v1.3.0                                    go-module  
github.com/gorilla/mux                                                       v1.8.0                                    go-module  
github.com/gorilla/websocket                                                 v1.5.0                                    go-module  
github.com/grpc-ecosystem/go-grpc-prometheus                                 v1.2.0                                    go-module  
github.com/grpc-ecosystem/grpc-gateway/v2                                    v2.16.0                                   go-module  
github.com/hashicorp/errwrap                                                 v1.1.0                                    go-module  
github.com/hashicorp/go-multierror                                           v1.1.1                                    go-module  
github.com/hashicorp/go-uuid                                                 v1.0.3                                    go-module  
github.com/jcmturner/aescts/v2                                               v2.0.0                                    go-module  
github.com/jcmturner/dnsutils/v2                                             v2.0.0                                    go-module  
github.com/jcmturner/gofork                                                  v1.7.6                                    go-module  
github.com/jcmturner/gokrb5/v8                                               v8.4.3                                    go-module  
github.com/jcmturner/rpc/v2                                                  v2.0.3                                    go-module  
github.com/josharian/intern                                                  v1.0.0                                    go-module  
github.com/json-iterator/go                                                  v1.1.12                                   go-module  
github.com/klauspost/compress                                                v1.16.0                                   go-module  
github.com/mailru/easyjson                                                   v0.7.7                                    go-module  
github.com/matttproud/golang_protobuf_extensions                             v1.0.4                                    go-module  
github.com/mitchellh/mapstructure                                            v1.5.0                                    go-module  
github.com/modern-go/concurrent                                              v0.0.0-20180306012644-bacd9c7ef1dd        go-module  
github.com/modern-go/reflect2                                                v1.0.2                                    go-module  
github.com/munnerz/goautoneg                                                 v0.0.0-20191010083416-a7dc8b61c822        go-module  
github.com/noironetworks/aci-containers                                      e7ef9e42875d4861dc39606bd3c5677a7826020b  go-module  
github.com/opencontainers/go-digest                                          v1.0.0                                    go-module  
github.com/openshift/api                                                     v0.0.0-20220914191453-3157e9e71368        go-module  
github.com/openshift/client-go                                               v0.0.0-20220525160904-9e1acff93e4a        go-module  
github.com/pierrec/lz4/v4                                                    v4.1.17                                   go-module  
github.com/pkg/errors                                                        v0.9.1                                    go-module  
github.com/prometheus/client_golang                                          v1.15.1                                   go-module  
github.com/prometheus/client_model                                           v0.4.0                                    go-module  
github.com/prometheus/common                                                 v0.42.0                                   go-module  
github.com/prometheus/procfs                                                 v0.9.0                                    go-module  
github.com/rcrowley/go-metrics                                               v0.0.0-20201227073835-cf1acfcdf475        go-module  
github.com/sirupsen/logrus                                                   v1.9.0                                    go-module  
github.com/spf13/cobra                                                       v1.7.0                                    go-module  
github.com/spf13/pflag                                                       v1.0.5                                    go-module  
github.com/stoewer/go-strcase                                                v1.3.0                                    go-module  
github.com/yl2chen/cidranger                                                 v1.0.2                                    go-module  
go.etcd.io/etcd/api/v3                                                       v3.5.7                                    go-module  
go.etcd.io/etcd/client/pkg/v3                                                v3.5.7                                    go-module  
go.etcd.io/etcd/client/v3                                                    v3.5.7                                    go-module  
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc  v0.42.0                                   go-module  
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                v0.42.0                                   go-module  
go.opentelemetry.io/otel                                                     v1.16.0                                   go-module  
go.opentelemetry.io/otel/exporters/otlp/internal/retry                       v1.16.0                                   go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace                            v1.16.0                                   go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc              v1.16.0                                   go-module  
go.opentelemetry.io/otel/metric                                              v1.16.0                                   go-module  
go.opentelemetry.io/otel/sdk                                                 v1.16.0                                   go-module  
go.opentelemetry.io/otel/trace                                               v1.16.0                                   go-module  
go.opentelemetry.io/proto/otlp                                               v1.0.0                                    go-module  
go.uber.org/atomic                                                           v1.10.0                                   go-module  
