NAME                                                                         VERSION                                            TYPE      
./pkg/ipam                                                                   (devel)                                            go-module  
./staging/src/k8s.io/api                                                     (devel)                                            go-module  
./staging/src/k8s.io/apimachinery                                            (devel)                                            go-module  
./staging/src/k8s.io/cli-runtime                                             (devel)                                            go-module  
./staging/src/k8s.io/client-go                                               (devel)                                            go-module  
./staging/src/k8s.io/component-base                                          (devel)                                            go-module  
./staging/src/k8s.io/component-helpers                                       (devel)                                            go-module  
./staging/src/k8s.io/kubectl                                                 (devel)                                            go-module  
./staging/src/k8s.io/metrics                                                 (devel)                                            go-module  
PyGObject                                                                    3.40.1                                             python     
PySocks                                                                      1.7.1                                              python     
chardet                                                                      4.0.0                                              python     
cloud.google.com/go                                                          v0.50.0                                            go-module  
contrib.go.opencensus.io/exporter/prometheus                                 v0.1.0                                             go-module  
dbus-python                                                                  1.2.18                                             python     
decorator                                                                    4.4.2                                              python     
ethtool                                                                      0.15                                               python     
github.com/Azure/go-autorest/autorest                                        v0.9.4                                             go-module  
github.com/Azure/go-autorest/autorest/adal                                   v0.8.3                                             go-module  
github.com/Azure/go-autorest/autorest/date                                   v0.2.0                                             go-module  
github.com/Azure/go-autorest/logger                                          v0.1.0                                             go-module  
github.com/Azure/go-autorest/tracing                                         v0.5.0                                             go-module  
github.com/BurntSushi/toml                                                   v0.3.1                                             go-module  
github.com/MakeNowJust/heredoc                                               v1.0.0                                             go-module  
github.com/Masterminds/goutils                                               v1.1.0                                             go-module  
github.com/Masterminds/semver/v3                                             v3.1.0                                             go-module  
github.com/Masterminds/sprig/v3                                              v3.1.0                                             go-module  
github.com/NYTimes/gziphandler                                               v1.1.1                                             go-module  
github.com/PuerkitoBio/purell                                                v1.1.1                                             go-module  
github.com/PuerkitoBio/urlesc                                                v0.0.0-20170810143723-de5bf2ad4578                 go-module  
github.com/Shopify/sarama                                                    v1.37.2                                            go-module  
github.com/VividCortex/ewma                                                  v1.1.1                                             go-module  
github.com/antlr/antlr4                                                      v0.0.0-20190819145818-b43a4c3a8015                 go-module  
github.com/antlr/antlr4/runtime/Go/antlr/v4                                  v4.0.0-20230305170008-8188dc5388df                 go-module  
github.com/asaskevich/govalidator                                            v0.0.0-20230301143203-a9d515a09cc2                 go-module  
github.com/aws/aws-sdk-go                                                    v1.44.298                                          go-module  
