NAME                                                                         VERSION                                   TYPE      
./pkg/ipam                                                                   (devel)                                   go-module  
cel.dev/expr                                                                 v0.18.0                                   go-module  
dbus-python                                                                  1.2.18                                    python     
github.com/NYTimes/gziphandler                                               v1.1.1                                    go-module  
github.com/antlr4-go/antlr/v4                                                v4.13.0                                   go-module  
github.com/asaskevich/govalidator                                            v0.0.0-20230301143203-a9d515a09cc2        go-module  
github.com/beorn7/perks                                                      v1.0.1                                    go-module  
github.com/blang/semver/v4                                                   v4.0.0                                    go-module  
github.com/cenkalti/backoff/v4                                               v4.3.0                                    go-module  
github.com/cenkalti/hub                                                      v1.0.1                                    go-module  
github.com/cenkalti/rpc2                                                     v0.0.0-20200203073230-5ce2854ce0fd        go-module  
github.com/cespare/xxhash/v2                                                 v2.3.0                                    go-module  
github.com/containernetworking/cni                                           v1.1.2                                    go-module  
github.com/containernetworking/plugins                                       v1.4.0                                    go-module  
github.com/coreos/go-iptables                                                v0.7.0                                    go-module  
github.com/coreos/go-semver                                                  v0.3.1                                    go-module  
github.com/coreos/go-systemd/v22                                             v22.5.0                                   go-module  
github.com/davecgh/go-spew                                                   v1.1.2-0.20180830191138-d8f796af33cc      go-module  
github.com/distribution/reference                                            v0.6.0                                    go-module  
github.com/emicklei/go-restful/v3                                            v3.11.2                                   go-module  
github.com/evanphx/json-patch/v5                                             v5.9.11                                   go-module  
github.com/felixge/httpsnoop                                                 v1.0.4                                    go-module  
github.com/fsnotify/fsnotify                                                 v1.7.0                                    go-module  
github.com/fxamacker/cbor/v2                                                 v2.7.0                                    go-module  
github.com/ghodss/yaml                                                       v1.0.0                                    go-module  
github.com/go-logr/logr                                                      v1.4.2                                    go-module  
github.com/go-logr/stdr                                                      v1.2.2                                    go-module  
github.com/go-openapi/jsonpointer                                            v0.21.0                                   go-module  
github.com/go-openapi/jsonreference                                          v0.20.4                                   go-module  
github.com/go-openapi/swag                                                   v0.23.0                                   go-module  
github.com/gogo/protobuf                                                     v1.3.2                                    go-module  
github.com/golang/protobuf                                                   v1.5.4                                    go-module  
github.com/google/btree                                                      v1.1.3                                    go-module  
github.com/google/cel-go                                                     v0.22.0                                   go-module  
github.com/google/gnostic-models                                             v0.6.8                                    go-module  
github.com/google/go-cmp                                                     v0.6.0                                    go-module  
github.com/google/gofuzz                                                     v1.2.0                                    go-module  
github.com/google/uuid                                                       v1.6.0                                    go-module  
github.com/grpc-ecosystem/go-grpc-prometheus                                 v1.2.0                                    go-module  
github.com/grpc-ecosystem/grpc-gateway/v2                                    v2.20.0                                   go-module  
github.com/jaypipes/ghw                                                      v0.9.0                                    go-module  
github.com/jaypipes/pcidb                                                    v1.0.0                                    go-module  
github.com/josharian/intern                                                  v1.0.0                                    go-module  
github.com/json-iterator/go                                                  v1.1.12                                   go-module  
github.com/k8snetworkplumbingwg/govdpa                                       v0.1.4                                    go-module  
github.com/k8snetworkplumbingwg/network-attachment-definition-client         v1.1.1-0.20201119153432-9d213757d22d      go-module  
github.com/k8snetworkplumbingwg/sriov-network-device-plugin                  v0.0.0-20230509124106-8ec9db3cbd23        go-module  
github.com/k8snetworkplumbingwg/sriovnet                                     v1.2.1-0.20230427090635-4929697df2dc      go-module  
github.com/mailru/easyjson                                                   v0.7.7                                    go-module  
github.com/mitchellh/go-homedir                                              v1.1.0                                    go-module  
github.com/modern-go/concurrent                                              v0.0.0-20180306012644-bacd9c7ef1dd        go-module  
github.com/modern-go/reflect2                                                v1.0.2                                    go-module  
github.com/munnerz/goautoneg                                                 v0.0.0-20191010083416-a7dc8b61c822        go-module  
github.com/natefinch/pie                                                     v0.0.0-20170715172608-9a0d72014007        go-module  
github.com/noironetworks/aci-containers                                      cc18281c880d4fa4ec6cc9163ca384c85148d526  go-module  
github.com/opencontainers/go-digest                                          v1.0.0                                    go-module  
github.com/openshift/api                                                     v0.0.0-20240125191952-1e2afa0f76cf        go-module  
github.com/ovn-org/libovsdb                                                  v0.0.0-20210422150337-f29ae9b43ea5        go-module  
github.com/pkg/errors                                                        v0.9.1                                    go-module  
github.com/prometheus/client_golang                                          v1.19.1                                   go-module  
github.com/prometheus/client_model                                           v0.6.1                                    go-module  
github.com/prometheus/common                                                 v0.55.0                                   go-module  
github.com/prometheus/procfs                                                 v0.15.1                                   go-module  
github.com/safchain/ethtool                                                  v0.3.0                                    go-module  
github.com/sirupsen/logrus                                                   v1.9.3                                    go-module  
github.com/spf13/afero                                                       v1.11.0                                   go-module  
github.com/spf13/cobra                                                       v1.8.1                                    go-module  
github.com/spf13/pflag                                                       v1.0.5                                    go-module  
github.com/stoewer/go-strcase                                                v1.3.0                                    go-module  
github.com/tatsushid/go-fastping                                             v0.0.0-20160109021039-d7bb493dee3e        go-module  
github.com/vishvananda/netlink                                               v1.3.1-0.20250206174618-62fb240731fa      go-module  
github.com/vishvananda/netns                                                 v0.0.4                                    go-module  
github.com/x448/float16                                                      v0.8.4                                    go-module  
go.etcd.io/etcd/api/v3                                                       v3.5.11                                   go-module  
go.etcd.io/etcd/client/pkg/v3                                                v3.5.11                                   go-module  
go.etcd.io/etcd/client/v3                                                    v3.5.16                                   go-module  
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc  v0.53.0                                   go-module  
