NAME                                                                         VERSION                                   TYPE      
./pkg/ipam                                                                   (devel)                                   go-module  
PyGObject                                                                    3.40.1                                    python     
PySocks                                                                      1.7.1                                     python     
cel.dev/expr                                                                 v0.18.0                                   go-module  
chardet                                                                      4.0.0                                     python     
dbus-python                                                                  1.2.18                                    python     
decorator                                                                    4.4.2                                     python     
github.com/NYTimes/gziphandler                                               v1.1.1                                    go-module  
github.com/antlr4-go/antlr/v4                                                v4.13.0                                   go-module  
github.com/asaskevich/govalidator                                            v0.0.0-20230301143203-a9d515a09cc2        go-module  
github.com/beorn7/perks                                                      v1.0.1                                    go-module  
github.com/blang/semver/v4                                                   v4.0.0                                    go-module  
github.com/cenkalti/backoff/v4                                               v4.3.0                                    go-module  
github.com/cespare/xxhash/v2                                                 v2.3.0                                    go-module  
github.com/coreos/go-semver                                                  v0.3.1                                    go-module  
github.com/coreos/go-systemd/v22                                             v22.5.0                                   go-module  
github.com/davecgh/go-spew                                                   v1.1.2-0.20180830191138-d8f796af33cc      go-module  
github.com/distribution/reference                                            v0.6.0                                    go-module  
github.com/emicklei/go-restful/v3                                            v3.11.2                                   go-module  
github.com/evanphx/json-patch/v5                                             v5.9.11                                   go-module  
github.com/felixge/httpsnoop                                                 v1.0.4                                    go-module  
github.com/fsnotify/fsnotify                                                 v1.7.0                                    go-module  
github.com/fxamacker/cbor/v2                                                 v2.7.0                                    go-module  
github.com/go-logr/logr                                                      v1.4.2                                    go-module  
github.com/go-logr/stdr                                                      v1.2.2                                    go-module  
github.com/go-openapi/jsonpointer                                            v0.21.0                                   go-module  
github.com/go-openapi/jsonreference                                          v0.20.4                                   go-module  
github.com/go-openapi/swag                                                   v0.23.0                                   go-module  
github.com/gogo/protobuf                                                     v1.3.2                                    go-module  
github.com/golang/protobuf                                                   v1.5.4                                    go-module  
github.com/google/btree                                                      v1.1.3                                    go-module  
github.com/google/cel-go                                                     v0.22.0                                   go-module  
github.com/google/gnostic-models                                             v0.6.8                                    go-module  
github.com/google/go-cmp                                                     v0.6.0                                    go-module  
github.com/google/gofuzz                                                     v1.2.0                                    go-module  
github.com/google/uuid                                                       v1.6.0                                    go-module  
github.com/gorilla/websocket                                                 v1.5.1                                    go-module  
github.com/grpc-ecosystem/go-grpc-prometheus                                 v1.2.0                                    go-module  
github.com/grpc-ecosystem/grpc-gateway/v2                                    v2.20.0                                   go-module  
github.com/josharian/intern                                                  v1.0.0                                    go-module  
github.com/json-iterator/go                                                  v1.1.12                                   go-module  
github.com/mailru/easyjson                                                   v0.7.7                                    go-module  
github.com/modern-go/concurrent                                              v0.0.0-20180306012644-bacd9c7ef1dd        go-module  
github.com/modern-go/reflect2                                                v1.0.2                                    go-module  
github.com/munnerz/goautoneg                                                 v0.0.0-20191010083416-a7dc8b61c822        go-module  
github.com/noironetworks/aci-containers                                      209c5c5708e02e94512b8232be516580dc9329a6  go-module  
github.com/opencontainers/go-digest                                          v1.0.0                                    go-module  
github.com/openshift/api                                                     v0.0.0-20240125191952-1e2afa0f76cf        go-module  
github.com/openshift/client-go                                               v0.0.0-20220525160904-9e1acff93e4a        go-module  
github.com/pkg/errors                                                        v0.9.1                                    go-module  
github.com/prometheus/client_golang                                          v1.19.1                                   go-module  
github.com/prometheus/client_model                                           v0.6.1                                    go-module  
github.com/prometheus/common                                                 v0.55.0                                   go-module  
github.com/prometheus/procfs                                                 v0.15.1                                   go-module  
github.com/sirupsen/logrus                                                   v1.9.3                                    go-module  
github.com/spf13/cobra                                                       v1.8.1                                    go-module  
github.com/spf13/pflag                                                       v1.0.5                                    go-module  
github.com/stoewer/go-strcase                                                v1.3.0                                    go-module  
github.com/x448/float16                                                      v0.8.4                                    go-module  
github.com/yl2chen/cidranger                                                 v1.0.2                                    go-module  
go.etcd.io/etcd/api/v3                                                       v3.5.11                                   go-module  
go.etcd.io/etcd/client/pkg/v3                                                v3.5.11                                   go-module  
go.etcd.io/etcd/client/v3                                                    v3.5.16                                   go-module  
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc  v0.53.0                                   go-module  
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                v0.53.0                                   go-module  
go.opentelemetry.io/otel                                                     v1.28.0                                   go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace                            v1.28.0                                   go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc              v1.27.0                                   go-module  
go.opentelemetry.io/otel/metric                                              v1.28.0                                   go-module  
go.opentelemetry.io/otel/sdk                                                 v1.28.0                                   go-module  
go.opentelemetry.io/otel/trace                                               v1.28.0                                   go-module  
go.opentelemetry.io/proto/otlp                                               v1.3.1                                    go-module  
go.uber.org/multierr                                                         v1.11.0                                   go-module  
go.uber.org/zap                                                              v1.27.0                                   go-module  
golang.org/x/crypto                                                          v0.38.0                                   go-module  
golang.org/x/exp                                                             v0.0.0-20240719175910-8a7402abbf56        go-module  
golang.org/x/net                                                             v0.40.0                                   go-module  
golang.org/x/oauth2                                                          v0.23.0                                   go-module  
golang.org/x/sync                                                            v0.14.0                                   go-module  
golang.org/x/sys                                                             v0.33.0                                   go-module  
golang.org/x/term                                                            v0.32.0                                   go-module  
golang.org/x/text                                                            v0.25.0                                   go-module  
golang.org/x/time                                                            v0.7.0                                    go-module  
google.golang.org/genproto/googleapis/api                                    v0.0.0-20240826202546-f6391c0de4c7        go-module  
google.golang.org/genproto/googleapis/rpc                                    v0.0.0-20240826202546-f6391c0de4c7        go-module  
google.golang.org/grpc                                                       v1.65.0                                   go-module  
google.golang.org/protobuf                                                   v1.35.1                                   go-module  
gopkg.in/evanphx/json-patch.v4                                               v4.12.0                                   go-module  
gopkg.in/inf.v0                                                              v0.9.1                                    go-module  
gopkg.in/natefinch/lumberjack.v2                                             v2.2.1                                    go-module  
gopkg.in/yaml.v3                                                             v3.0.1                                    go-module  
gpg                                                                          1.15.1                                    python     
idna                                                                         2.10                                      python     
iniparse                                                                     0.4                                       python     
k8s.io/api                                                                   v0.32.5                                   go-module  
k8s.io/apiextensions-apiserver                                               v0.32.5                                   go-module  
k8s.io/apimachinery                                                          v0.32.5                                   go-module  
