NAME                                                             VERSION                                   TYPE      
Jinja2                                                           3.1.6                                     python     
MarkupSafe                                                       3.0.2                                     python     
PyGObject                                                        3.40.1                                    python     
PySocks                                                          1.7.1                                     python     
PyYAML                                                           6.0.2                                     python     
acc_provision                                                    6.1.2.1                                   python     
ansible-core                                                     2.18.3                                    python     
ansible-runner                                                   2.4.0                                     python     
ansible-runner-http                                              1.0.0                                     python     
autocommand                                                      2.2.2                                     python     
backports.tarfile                                                1.2.0                                     python     
cachetools                                                       5.5.2                                     python     
certifi                                                          2025.1.31                                 python     
cffi                                                             1.17.1                                    python     
chardet                                                          4.0.0                                     python     
charset-normalizer                                               3.4.1                                     python     
cryptography                                                     44.0.2                                    python     
dbus-python                                                      1.2.18                                    python     
decorator                                                        4.4.2                                     python     
distlib                                                          0.3.9                                     python     
durationpy                                                       0.9                                       python     
filelock                                                         3.18.0                                    python     
github.com/antlr4-go/antlr/v4                                    v4.13.0                                   go-module  
github.com/asaskevich/govalidator                                v0.0.0-20230301143203-a9d515a09cc2        go-module  
github.com/beorn7/perks                                          v1.0.1                                    go-module  
github.com/blang/semver/v4                                       v4.0.0                                    go-module  
github.com/cenkalti/backoff/v4                                   v4.3.0                                    go-module  
github.com/cespare/xxhash/v2                                     v2.3.0                                    go-module  
github.com/davecgh/go-spew                                       v1.1.2-0.20180830191138-d8f796af33cc      go-module  
github.com/emicklei/go-restful/v3                                v3.11.2                                   go-module  
github.com/evanphx/json-patch/v5                                 v5.9.0                                    go-module  
github.com/felixge/httpsnoop                                     v1.0.4                                    go-module  
github.com/fsnotify/fsnotify                                     v1.7.0                                    go-module  
github.com/fxamacker/cbor/v2                                     v2.7.0                                    go-module  
github.com/go-logr/logr                                          v1.4.2                                    go-module  
github.com/go-logr/stdr                                          v1.2.2                                    go-module  
github.com/go-logr/zapr                                          v1.3.0                                    go-module  
github.com/go-openapi/jsonpointer                                v0.21.0                                   go-module  
github.com/go-openapi/jsonreference                              v0.21.0                                   go-module  
github.com/go-openapi/swag                                       v0.23.0                                   go-module  
github.com/gogo/protobuf                                         v1.3.2                                    go-module  
github.com/golang/groupcache                                     v0.0.0-20210331224755-41bb18bfe9da        go-module  
github.com/golang/protobuf                                       v1.5.4                                    go-module  
github.com/google/cel-go                                         v0.20.1                                   go-module  
github.com/google/gnostic-models                                 v0.6.8                                    go-module  
github.com/google/go-cmp                                         v0.6.0                                    go-module  
github.com/google/gofuzz                                         v1.2.0                                    go-module  
github.com/google/uuid                                           v1.6.0                                    go-module  
github.com/grpc-ecosystem/grpc-gateway/v2                        v2.20.0                                   go-module  
github.com/h2non/filetype                                        v1.1.3                                    go-module  
github.com/h2non/go-is-svg                                       v0.0.0-20160927212452-35e8c4b0612c        go-module  
github.com/imdario/mergo                                         v0.3.16                                   go-module  
github.com/josharian/intern                                      v1.0.0                                    go-module  
github.com/json-iterator/go                                      v1.1.12                                   go-module  
github.com/klauspost/compress                                    v1.17.9                                   go-module  
github.com/mailru/easyjson                                       v0.7.7                                    go-module  
github.com/modern-go/concurrent                                  v0.0.0-20180306012644-bacd9c7ef1dd        go-module  
github.com/modern-go/reflect2                                    v1.0.2                                    go-module  
github.com/munnerz/goautoneg                                     v0.0.0-20191010083416-a7dc8b61c822        go-module  
github.com/mxk/go-flowrate                                       v0.0.0-20140419014527-cca7078d478f        go-module  
github.com/onsi/gomega                                           v1.34.2                                   go-module  
github.com/operator-framework/ansible-operator-plugins           dc6090705b01925cfa130b25bf7ca1d7ff7a5430  go-module  
github.com/operator-framework/api                                v0.27.0                                   go-module  
github.com/operator-framework/operator-lib                       v0.15.0                                   go-module  
github.com/operator-framework/operator-registry                  v1.47.0                                   go-module  
github.com/pkg/errors                                            v0.9.1                                    go-module  
github.com/prometheus/client_golang                              v1.20.5                                   go-module  
github.com/prometheus/client_model                               v0.6.1                                    go-module  
github.com/prometheus/common                                     v0.55.0                                   go-module  
github.com/prometheus/procfs                                     v0.15.1                                   go-module  
github.com/sirupsen/logrus                                       v1.9.3                                    go-module  
github.com/spf13/afero                                           v1.11.0                                   go-module  
github.com/spf13/cobra                                           v1.8.1                                    go-module  
github.com/spf13/pflag                                           v1.0.5                                    go-module  
github.com/stoewer/go-strcase                                    v1.3.0                                    go-module  
github.com/x448/float16                                          v0.8.4                                    go-module  
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp    v0.53.0                                   go-module  
go.opentelemetry.io/otel                                         v1.28.0                                   go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace                v1.28.0                                   go-module  
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc  v1.27.0                                   go-module  
go.opentelemetry.io/otel/metric                                  v1.28.0                                   go-module  
go.opentelemetry.io/otel/sdk                                     v1.28.0                                   go-module  
go.opentelemetry.io/otel/trace                                   v1.28.0                                   go-module  
go.opentelemetry.io/proto/otlp                                   v1.3.1                                    go-module  
go.uber.org/multierr                                             v1.11.0                                   go-module  
go.uber.org/zap                                                  v1.26.0                                   go-module  
golang.org/x/exp                                                 v0.0.0-20240719175910-8a7402abbf56        go-module  
golang.org/x/net                                                 v0.33.0                                   go-module  
golang.org/x/oauth2                                              v0.22.0                                   go-module  
golang.org/x/sync                                                v0.10.0                                   go-module  
golang.org/x/sys                                                 v0.28.0                                   go-module  
golang.org/x/term                                                v0.27.0                                   go-module  
golang.org/x/text                                                v0.21.0                                   go-module  
golang.org/x/time                                                v0.5.0                                    go-module  
