NAME                                                                  VERSION                                   TYPE      
./pkg/ipam                                                            (devel)                                   go-module  
PyGObject                                                             3.40.1                                    python     
PySocks                                                               1.7.1                                     python     
chardet                                                               4.0.0                                     python     
cloud.google.com/go/compute/metadata                                  v0.2.3                                    go-module  
cloud.google.com/go/logging                                           v1.7.0                                    go-module  
cloud.google.com/go/longrunning                                       v0.4.1                                    go-module  
contrib.go.opencensus.io/exporter/prometheus                          v0.4.2                                    go-module  
dbus-python                                                           1.2.18                                    python     
decorator                                                             4.4.2                                     python     
github.com/BurntSushi/toml                                            v1.2.1                                    go-module  
github.com/MakeNowJust/heredoc                                        v1.0.0                                    go-module  
github.com/Masterminds/goutils                                        v1.1.1                                    go-module  
github.com/Masterminds/semver/v3                                      v3.2.0                                    go-module  
github.com/Masterminds/sprig/v3                                       v3.2.3                                    go-module  
github.com/VividCortex/ewma                                           v1.2.0                                    go-module  
github.com/antlr/antlr4/runtime/Go/antlr/v4                           v4.0.0-20230305170008-8188dc5388df        go-module  
github.com/beorn7/perks                                               v1.0.1                                    go-module  
github.com/blang/semver/v4                                            v4.0.0                                    go-module  
github.com/cenkalti/backoff/v4                                        v4.2.0                                    go-module  
github.com/census-instrumentation/opencensus-proto                    v0.4.1                                    go-module  
github.com/cespare/xxhash/v2                                          v2.2.0                                    go-module  
github.com/cespare/xxhash/v2                                          v2.3.0                                    go-module  
github.com/chai2010/gettext-go                                        v1.0.2                                    go-module  
github.com/cheggaaa/pb/v3                                             v3.1.2                                    go-module  
github.com/cncf/xds/go                                                v0.0.0-20230310173818-32f1caf87195        go-module  
github.com/cpuguy83/go-md2man/v2                                      v2.0.2                                    go-module  
github.com/cyphar/filepath-securejoin                                 v0.2.3                                    go-module  
github.com/davecgh/go-spew                                            v1.1.1                                    go-module  
github.com/davecgh/go-spew                                            v1.1.2-0.20180830191138-d8f796af33cc      go-module  
github.com/distribution/reference                                     v0.6.0                                    go-module  
github.com/docker/cli                                                 v23.0.3+incompatible                      go-module  
github.com/docker/distribution                                        v2.8.2+incompatible                       go-module  
github.com/docker/docker                                              v23.0.3+incompatible                      go-module  
github.com/docker/docker-credential-helpers                           v0.7.0                                    go-module  
github.com/emicklei/go-restful/v3                                     v3.10.1                                   go-module  
github.com/emicklei/go-restful/v3                                     v3.11.2                                   go-module  
github.com/envoyproxy/go-control-plane                                v0.11.1-0.20230416233444-7f2a3030ef40     go-module  
github.com/envoyproxy/protoc-gen-validate                             v0.9.1                                    go-module  
github.com/evanphx/json-patch                                         v5.6.0+incompatible                       go-module  
github.com/evanphx/json-patch/v5                                      v5.6.0                                    go-module  
github.com/evanphx/json-patch/v5                                      v5.9.11                                   go-module  
github.com/exponent-io/jsonpath                                       v0.0.0-20151013193312-d6023ce2651d        go-module  
github.com/fatih/camelcase                                            v1.0.0                                    go-module  
github.com/fatih/color                                                v1.15.0                                   go-module  
github.com/fsnotify/fsnotify                                          v1.6.0                                    go-module  
github.com/fvbommel/sortorder                                         v1.0.2                                    go-module  
github.com/fxamacker/cbor/v2                                          v2.7.0                                    go-module  
github.com/go-errors/errors                                           v1.4.2                                    go-module  
github.com/go-kit/log                                                 v0.2.1                                    go-module  
github.com/go-logfmt/logfmt                                           v0.6.0                                    go-module  
github.com/go-logr/logr                                               v1.2.4                                    go-module  
github.com/go-logr/logr                                               v1.4.2                                    go-module  
github.com/go-logr/stdr                                               v1.2.2                                    go-module  
github.com/go-openapi/jsonpointer                                     v0.19.6                                   go-module  
github.com/go-openapi/jsonpointer                                     v0.21.0                                   go-module  
github.com/go-openapi/jsonreference                                   v0.20.2                                   go-module  
github.com/go-openapi/jsonreference                                   v0.20.4                                   go-module  
github.com/go-openapi/swag                                            v0.22.3                                   go-module  
github.com/go-openapi/swag                                            v0.23.0                                   go-module  
github.com/gobwas/glob                                                v0.2.3                                    go-module  
github.com/gogo/protobuf                                              v1.3.2                                    go-module  
github.com/golang/groupcache                                          v0.0.0-20210331224755-41bb18bfe9da        go-module  
github.com/golang/protobuf                                            v1.5.3                                    go-module  
github.com/google/btree                                               v1.1.2                                    go-module  
github.com/google/cel-go                                              v0.14.0                                   go-module  
github.com/google/gnostic                                             v0.6.9                                    go-module  
github.com/google/gnostic-models                                      v0.6.9                                    go-module  
github.com/google/go-cmp                                              v0.5.9                                    go-module  
github.com/google/go-cmp                                              v0.7.0                                    go-module  
github.com/google/go-containerregistry                                v0.14.0                                   go-module  
github.com/google/gofuzz                                              v1.2.0                                    go-module  
github.com/google/s2a-go                                              v0.1.0                                    go-module  
github.com/google/shlex                                               v0.0.0-20191202100458-e7afc7fbc510        go-module  
github.com/google/uuid                                                v1.3.0                                    go-module  
github.com/google/uuid                                                v1.6.0                                    go-module  
github.com/googleapis/enterprise-certificate-proxy                    v0.2.3                                    go-module  
github.com/googleapis/gax-go/v2                                       v2.8.0                                    go-module  
github.com/gorilla/websocket                                          v1.5.4-0.20250319132907-e064f32e3674      go-module  
github.com/grafana/regexp                                             v0.0.0-20221122212121-6b5c0a4cb7fd        go-module  
github.com/gregjones/httpcache                                        v0.0.0-20190611155906-901d90724c79        go-module  
github.com/grpc-ecosystem/go-grpc-middleware                          v1.4.0                                    go-module  
github.com/hashicorp/errwrap                                          v1.1.0                                    go-module  
github.com/hashicorp/go-multierror                                    v1.1.1                                    go-module  
github.com/hashicorp/go-version                                       v1.6.0                                    go-module  
github.com/hashicorp/golang-lru/v2                                    v2.0.2                                    go-module  
github.com/hashicorp/hcl                                              v1.0.0                                    go-module  
github.com/huandu/xstrings                                            v1.4.0                                    go-module  
github.com/imdario/mergo                                              v0.3.5                                    go-module  
github.com/jonboulle/clockwork                                        v0.3.0                                    go-module  
github.com/josharian/intern                                           v1.0.0                                    go-module  
github.com/json-iterator/go                                           v1.1.12                                   go-module  
github.com/k8snetworkplumbingwg/network-attachment-definition-client  v1.1.1-0.20201119153432-9d213757d22d      go-module  
github.com/klauspost/compress                                         v1.16.0                                   go-module  
github.com/kr/pretty                                                  v0.3.1                                    go-module  
github.com/kr/text                                                    v0.2.0                                    go-module  
github.com/kylelemons/godebug                                         v1.1.0                                    go-module  
