NAME                                                                  VERSION                                   TYPE
acl                                                                   2.4.0-1.el9_8                             rpm
alternatives                                                          1.24-2.el9                                rpm
attr                                                                  2.5.1-3.el9                               rpm
audit-libs                                                            3.1.5-8.el9                               rpm
basesystem                                                            11-13.el9                                 rpm
bash                                                                  5.1.8-9.el9                               rpm
bzip2-libs                                                            1.0.8-11.el9                              rpm
ca-certificates                                                       2025.2.80_v9.0.305-91.el9                 rpm
chardet                                                               4.0.0                                     python
coreutils-single                                                      8.32-41.el9_8                             rpm
cracklib                                                              2.9.6-28.el9                              rpm
cracklib-dicts                                                        2.9.6-28.el9                              rpm
crypto-policies                                                       20260224-1.gitea0f072.el9_8               rpm
crypto-policies-scripts                                               20260224-1.gitea0f072.el9_8               rpm
curl-minimal                                                          7.76.1-40.el9                             rpm
cyrus-sasl-lib                                                        2.1.27-22.el9                             rpm
dbus                                                                  1:1.12.20-8.el9                           rpm
dbus-broker                                                           28-7.el9                                  rpm
dbus-common                                                           1:1.12.20-8.el9                           rpm
dbus-libs                                                             1:1.12.20-8.el9                           rpm
dbus-python                                                           1.2.18                                    python
decorator                                                             4.4.2                                     python
dejavu-sans-fonts                                                     2.37-18.el9                               rpm
dmidecode                                                             1:3.6-2.el9                               rpm
dnf                                                                   4.14.0-34.el9_8                           rpm
dnf-data                                                              4.14.0-34.el9_8                           rpm
elfutils-default-yama-scope                                           0.194-1.el9                               rpm
elfutils-libelf                                                       0.194-1.el9                               rpm
elfutils-libs                                                         0.194-1.el9                               rpm
expat                                                                 2.5.0-6.el9_8.1                           rpm
file-libs                                                             5.39-17.el9                               rpm
filesystem                                                            3.16-5.el9                                rpm
findutils                                                             1:4.8.0-7.el9                             rpm
fonts-filesystem                                                      1:2.0.5-7.el9.1                           rpm
gawk                                                                  5.1.0-6.el9                               rpm
gdb-gdbserver                                                         16.3-3.el9                                rpm
gdbm-libs                                                             1:1.23-1.el9                              rpm
github.com/beorn7/perks                                               v1.0.1                                    go-module
github.com/blang/semver/v4                                            v4.0.0                                    go-module
github.com/cespare/xxhash/v2                                          v2.3.0                                    go-module
github.com/davecgh/go-spew                                            v1.1.2-0.20180830191138-d8f796af33cc      go-module
github.com/emicklei/go-restful/v3                                     v3.13.0                                   go-module
github.com/evanphx/json-patch/v5                                      v5.9.11                                   go-module
github.com/fsnotify/fsnotify                                          v1.9.0                                    go-module
github.com/fxamacker/cbor/v2                                          v2.9.0                                    go-module
github.com/go-logr/logr                                               v1.4.3                                    go-module
github.com/go-logr/zapr                                               v1.3.0                                    go-module
github.com/go-openapi/jsonpointer                                     v0.21.0                                   go-module
github.com/go-openapi/jsonreference                                   v0.20.4                                   go-module
github.com/go-openapi/swag                                            v0.23.0                                   go-module
github.com/google/gnostic-models                                      v0.7.0                                    go-module
github.com/google/uuid                                                v1.6.0                                    go-module
github.com/josharian/intern                                           v1.0.0                                    go-module
github.com/json-iterator/go                                           v1.1.12                                   go-module
github.com/k8snetworkplumbingwg/network-attachment-definition-client  v1.1.1-0.20201119153432-9d213757d22d      go-module
github.com/mailru/easyjson                                            v0.7.7                                    go-module
github.com/modern-go/concurrent                                       v0.0.0-20180306012644-bacd9c7ef1dd        go-module
github.com/modern-go/reflect2                                         v1.0.3-0.20250322232337-35a7c28c31ee      go-module
github.com/munnerz/goautoneg                                          v0.0.0-20191010083416-a7dc8b61c822        go-module
github.com/noironetworks/aci-containers                               v0.0.0-20260815021740-854152b59d6c+dirty  go-module
github.com/pmezard/go-difflib                                         v1.0.1-0.20181226105442-5d4384ee4fb2      go-module
github.com/prometheus/client_golang                                   v1.23.2                                   go-module
github.com/prometheus/client_model                                    v0.6.2                                    go-module
github.com/prometheus/common                                          v0.67.5                                   go-module
github.com/prometheus/procfs                                          v0.20.1                                   go-module
github.com/sirupsen/logrus                                            v1.9.3                                    go-module
github.com/spf13/pflag                                                v1.0.9                                    go-module
github.com/x448/float16                                               v0.8.4                                    go-module
glib2                                                                 2.68.4-19.el9_8.2                         rpm
glibc                                                                 2.34-275.el9_8                            rpm
glibc-common                                                          2.34-275.el9_8                            rpm
glibc-minimal-langpack                                                2.34-275.el9_8                            rpm
gmp                                                                   1:6.2.0-13.el9                            rpm
gnupg2                                                                2.3.3-5.el9_7                             rpm
gnutls                                                                3.8.10-8.el9_8                            rpm
go.opentelemetry.io/otel                                              v1.43.0                                   go-module
go.opentelemetry.io/otel/trace                                        v1.43.0                                   go-module
go.uber.org/multierr                                                  v1.11.0                                   go-module
go.uber.org/zap                                                       v1.27.1                                   go-module
go.yaml.in/yaml/v2                                                    v2.4.4                                    go-module
go.yaml.in/yaml/v3                                                    v3.0.4                                    go-module
gobject-introspection                                                 1.68.0-11.el9                             rpm
golang.org/x/net                                                      v0.55.0                                   go-module
golang.org/x/oauth2                                                   v0.36.0                                   go-module
golang.org/x/sync                                                     v0.20.0                                   go-module
golang.org/x/sys                                                      v0.45.0                                   go-module
golang.org/x/term                                                     v0.43.0                                   go-module
golang.org/x/text                                                     v0.37.0                                   go-module
golang.org/x/time                                                     v0.14.0                                   go-module
gomodules.xyz/jsonpatch/v2                                            v2.4.0                                    go-module
google.golang.org/protobuf                                            v1.36.12-0.20260120151049-f2248ac996af    go-module
gopkg.in/evanphx/json-patch.v4                                        v4.13.0                                   go-module
gopkg.in/inf.v0                                                       v0.9.1                                    go-module
gopkg.in/yaml.v3                                                      v3.0.1                                    go-module
gpg                                                                   1.15.1                                    python
gpg-pubkey                                                            5a6340b3-6229229e                         rpm
gpg-pubkey                                                            fd431d51-4ae0493b                         rpm
gpgme                                                                 1.15.1-6.el9                              rpm
grep                                                                  3.6-5.el9                                 rpm
gzip                                                                  1.12-1.el9                                rpm
idna                                                                  2.10                                      python
ima-evm-utils                                                         1.6.2-2.el9                               rpm
iniparse                                                              0.4                                       python
iproute                                                               6.17.0-2.el9                              rpm
json-c                                                                0.14-11.el9                               rpm
json-glib                                                             1.6.6-1.el9                               rpm
k8s.io/api                                                            v0.36.1                                   go-module
k8s.io/apiextensions-apiserver                                        v0.36.1                                   go-module
k8s.io/apimachinery                                                   v0.36.1                                   go-module
k8s.io/apiserver                                                      v0.36.1                                   go-module
k8s.io/client-go                                                      v0.36.1                                   go-module
k8s.io/component-base                                                 v0.36.1                                   go-module
k8s.io/klog/v2                                                        v2.140.0                                  go-module
k8s.io/kube-openapi                                                   v0.0.0-20260317180543-43fb72c5454a        go-module
k8s.io/utils                                                          v0.0.0-20260210185600-b8788abfbbc2        go-module
keyutils                                                              1.6.3-1.el9                               rpm
keyutils-libs                                                         1.6.3-1.el9                               rpm
kmod-libs                                                             28-11.el9                                 rpm
krb5-libs                                                             1.21.1-10.el9_8                           rpm
langpacks-core-en                                                     3.0-16.el9                                rpm
langpacks-core-font-en                                                3.0-16.el9                                rpm
langpacks-en                                                          3.0-16.el9                                rpm
libacl                                                                2.4.0-1.el9_8                             rpm
libarchive                                                            3.5.3-11.el9_8                            rpm
libassuan                                                             2.5.5-3.el9                               rpm
libattr                                                               2.5.1-3.el9                               rpm
libblkid                                                              2.37.4-25.el9                             rpm
libbpf                                                                2:1.5.0-3.el9                             rpm
libcap                                                                2.48-10.el9_8.1                           rpm
libcap-ng                                                             0.8.2-7.el9                               rpm
libcom_err                                                            1.46.5-8.el9                              rpm
libcomps                                                              0.1.18                                    python
libcomps                                                              0.1.18-1.el9                              rpm
libcurl-minimal                                                       7.76.1-40.el9                             rpm
libdb                                                                 5.3.28-57.el9_6                           rpm
libdnf                                                                0.69.0-18.el9                             rpm
libdnf-plugin-subscription-manager                                    1.29.50-1.el9                             rpm
libeconf                                                              0.4.1-7.el9_8                             rpm
libevent                                                              2.1.12-8.el9_4                            rpm
libfdisk                                                              2.37.4-25.el9                             rpm
libffi                                                                3.4.2-8.el9                               rpm
libgcc                                                                11.5.0-14.el9                             rpm
libgcrypt                                                             1.10.0-13.el9_8                           rpm
libgomp                                                               11.5.0-14.el9                             rpm
libgpg-error                                                          1.42-5.el9                                rpm
libidn2                                                               2.3.0-7.el9                               rpm
libksba                                                               1.5.1-7.el9                               rpm
libmnl                                                                1.0.4-16.el9_4                            rpm
libmodulemd                                                           2.13.0-2.el9                              rpm
libmount                                                              2.37.4-25.el9                             rpm
libnghttp2                                                            1.43.0-6.el9_8.2                          rpm
libpwquality                                                          1.4.4-8.el9                               rpm
librepo                                                               1.19.0-1.el9                              rpm
libreport-filesystem                                                  2.15.2-6.el9                              rpm
librhsm                                                               0.0.3-9.el9                               rpm
libseccomp                                                            2.5.2-2.el9                               rpm
libselinux                                                            3.6-3.el9                                 rpm
libsemanage                                                           3.6-5.el9_6                               rpm
libsepol                                                              3.6-3.el9                                 rpm
libsigsegv                                                            2.13-4.el9                                rpm
libsmartcols                                                          2.37.4-25.el9                             rpm
libsolv                                                               0.7.24-6.el9_8                            rpm
libstdc++                                                             11.5.0-14.el9                             rpm
libtasn1                                                              4.16.0-10.el9_8                           rpm
libtool-ltdl                                                          2.4.6-46.el9                              rpm
libunistring                                                          0.9.10-15.el9                             rpm
libuser                                                               0.63-17.el9                               rpm
libutempter                                                           1.2.1-6.el9                               rpm
libuuid                                                               2.37.4-25.el9                             rpm
libverto                                                              0.3.2-3.el9                               rpm
libxcrypt                                                             4.4.18-3.el9                              rpm
libxml2                                                               2.9.13-14.el9_8.2                         rpm
libyaml                                                               0.2.5-7.el9                               rpm
libzstd                                                               1.5.5-1.el9                               rpm
lua-libs                                                              5.4.4-4.el9                               rpm
lz4-libs                                                              1.9.3-5.el9                               rpm
mpfr                                                                  4.1.0-10.el9                              rpm
ncurses-base                                                          6.2-12.20210508.el9                       rpm
ncurses-libs                                                          6.2-12.20210508.el9                       rpm
nettle                                                                3.10.1-1.el9                              rpm
npth                                                                  1.6-8.el9                                 rpm
openldap                                                              2.6.8-4.el9                               rpm
openssl                                                               1:3.5.5-6.el9_8                           rpm
openssl-fips-provider                                                 3.0.7-11.el9_8                            rpm
openssl-fips-provider-so                                              3.0.7-11.el9_8                            rpm
